u,v,key,source,target,length
340356150,340356141,0,340356150,340356141,139.99292102774223
340356150,340356361,0,340356150,340356361,502.83889760867356
340356150,5870601097,0,340356150,5870601097,905.178379196299
340356361,340356377,0,340356361,340356377,605.9758060110698
340356361,5870600054,0,340356361,5870600054,305.39419545957765
340356361,340356150,0,340356361,340356150,502.8388976086735
340356377,340356361,0,340356377,340356361,605.97580601107
340356377,5870601096,0,340356377,5870601096,178.38168394422075
340356384,5870601096,0,340356384,5870601096,100.15887197508182
340356384,340361587,0,340356384,340361587,1252.3293126003964
340356384,5870601066,0,340356384,5870601066,334.01498415707715
340358611,7483985078,0,340358611,7483985078,19.49275256584914
340358611,5870047255,0,340358611,5870047255,509.80571718914456
340358611,5234141962,0,340358611,5234141962,35.571297401649524
340358611,5234141971,0,340358611,5234141971,160.10046057529496
340358870,5699411688,0,340358870,5699411688,113.08691414244751
340358870,7837720088,0,340358870,7837720088,104.08177992303229
340358870,5870049320,0,340358870,5870049320,569.8443728806425
340358922,5869962969,0,340358922,5869962969,152.34197993605594
340358922,5869964397,0,340358922,5869964397,542.1691765130699
340358922,7837720088,0,340358922,7837720088,180.77748579889683
340359002,340359008,0,340359002,340359008,26.235875693086637
340359002,8218713089,0,340359002,8218713089,383.89182991184464
340359002,5869964397,0,340359002,5869964397,135.5878638317766
340359008,340359002,0,340359008,340359002,26.235875693086637
340359008,340359055,0,340359008,340359055,227.30871711652503
340359008,360329373,0,340359008,360329373,322.71030326456685
340359055,5869964452,0,340359055,5869964452,39.73557459573785
340359055,340359008,0,340359055,340359008,227.3087171165251
340359055,340359079,0,340359055,340359079,270.19570068830694
340359079,5699334233,0,340359079,5699334233,865.7942536319867
340359079,340359055,0,340359079,340359055,270.1957006883069
340359079,7900446337,0,340359079,7900446337,139.70621801158734
340359295,5699334273,0,340359295,5699334273,74.3532405939038
340359295,5831662868,0,340359295,5831662868,152.8286409958171
340359295,360329553,0,340359295,360329553,364.83800446160075
340359309,5831662868,0,340359309,5831662868,21.348072413477706
340359309,5831662795,0,340359309,5831662795,182.51394086569994
340359309,340359315,0,340359309,340359315,83.46251129844589
340359315,5831545825,0,340359315,5831545825,75.79634497896838
340359315,340359309,0,340359315,340359309,83.46251129844589
340359315,340359374,0,340359315,340359374,417.4150475930637
340359374,5831545842,0,340359374,5831545842,68.06146748502525
340359374,340359381,0,340359374,340359381,75.07882246397207
340359374,340359315,0,340359374,340359315,417.41504759306366
340359381,340359374,0,340359381,340359374,75.07882246397207
340359381,340359420,0,340359381,340359420,329.8061035982334
340359381,8193987896,0,340359381,8193987896,386.05319993869205
340359420,5831662806,0,340359420,5831662806,381.069832464435
340359420,340359381,0,340359420,340359381,329.80610359823334
340359420,5831662886,0,340359420,5831662886,431.8394796030748
340359621,5831542942,0,340359621,5831542942,78.52152157882375
340359621,5831558755,0,340359621,5831558755,228.2584035472538
340359621,5831670861,0,340359621,5831670861,295.91953721471225
340359964,5831662993,0,340359964,5831662993,635.9505482017961
340359964,4371392304,0,340359964,4371392304,231.8470077899205
340359964,7598551916,0,340359964,7598551916,434.57026912565726
340360340,7589709138,0,340360340,7589709138,739.9802179898393
340360340,12070867684,0,340360340,12070867684,162.84110158815187
340360340,7589713078,0,340360340,7589713078,245.79750640471
340360718,12465332952,0,340360718,12465332952,37.17196477235021
340360718,12518715581,0,340360718,12518715581,41.81670482173142
340360718,3062388917,0,340360718,3062388917,158.99581783307542
340361456,5232563970,0,340361456,5232563970,90.62021612515493
340361456,5870061852,0,340361456,5870061852,107.26630995584654
340361456,5870060727,0,340361456,5870060727,261.16553871232486
340361521,5870060697,0,340361521,5870060697,66.77877732968393
340361521,5870060548,0,340361521,5870060548,41.80463505512297
340361521,5870060994,0,340361521,5870060994,335.4625845779148
340361542,5870600555,0,340361542,5870600555,32.98773916061996
340361542,5870599771,0,340361542,5870599771,211.2108526590624
340361542,340355888,0,340361542,340355888,94.47324108092492
340361550,5870601019,0,340361550,5870601019,16.661208698624133
340361550,340361571,0,340361550,340361571,378.7606078408937
340361550,5870600449,0,340361550,5870600449,43.729434708980605
340361571,340361587,0,340361571,340361587,191.8917037645737
340361571,340361550,0,340361571,340361550,378.7606078408938
340361571,5870600997,0,340361571,5870600997,212.84327276744733
340361587,5870600134,0,340361587,5870600134,155.79290013251588
340361587,340356384,0,340361587,340356384,1252.3293126003966
340361587,340361571,0,340361587,340361571,191.89170376457372
340361600,5870600134,0,340361600,5870600134,60.970267779436746
